id,identifier,name,name_phonetic,species,name_jp,name_jp_romaji,species_jp,generation_id,ndex,kdex,jdex,jdex_old,hdex,sdex,udex,type1_id,type2_id,ability1_id,ability2_id,abilitydream_id,evolution_parent_pokemon_id,evolution_method_id,evolution_parameter,height,weight,gender_rate,catch_rate,exp_yield,base_happiness,egg_group1_id,egg_group2_id,is_baby,baby_breed_item_id,hatch_counter,lvl_100_exp,pokemon_order,legacy_id
266,silcoon,Silcoon,Silcoon,Cocoon,"カラサリス",Karasalis,"さなぎ",3,266,"","","",15,49,"",7,"",61,"","",265,1,7,6,100,4,120,72,70,3,"",0,"",15,1000000,290,266
267,beautifly,Beautifly,Beautifly,Butterfly,"アゲハント",Agehunt,"ちょうちょ",3,267,"","","",16,50,"",7,3,68,"",79,266,1,10,10,284,4,45,161,70,3,"",0,"",15,1000000,291,267
268,cascoon,Cascoon,Cascoon,Cocoon,"マユルド",Mayuld,"さなぎ",3,268,"","","",17,51,"",7,"",61,"","",265,1,7,7,115,4,120,72,70,3,"",0,"",15,1000000,292,268
269,dustox,Dustox,Dustox,"Poison Moth","ドクケイル",Dokucale,"どくが",3,269,"","","",18,52,"",7,4,19,"",14,268,1,10,12,316,4,45,161,70,3,"",0,"",15,1000000,293,269
270,lotad,Lotad,Lotad,"Water Weed","ハスボー",Hassboh,"うきくさ",3,270,"","","",19,"","",11,12,33,44,20,"","","",5,26,4,255,74,70,2,7,0,"",15,1059860,294,270
271,lombre,Lombre,Lombre,Jolly,"ハスブレロ",Hasubrero,"ようき",3,271,"","","",20,"","",11,12,33,44,20,270,1,14,12,325,4,120,141,70,2,7,0,"",15,1059860,295,271
272,ludicolo,Ludicolo,Ludicolo,Carefree,"ルンパッパ",Runpappa,"のうてんき",3,272,"","","",21,"","",11,12,33,44,20,271,7,43,15,550,4,45,181,70,2,7,0,"",15,1059860,296,272
273,seedot,Seedot,Seedot,Acorn,"タネボー",Taneboh,"どんぐり",3,273,"","","",22,"","",12,"",34,48,124,"","","",5,40,4,255,74,70,5,7,0,"",15,1059860,297,273
274,nuzleaf,Nuzleaf,Nuzleaf,Wily,"コノハナ",Konohana,"いじわる",3,274,"","","",23,"","",12,17,34,48,124,273,1,14,10,280,4,120,141,70,5,7,0,"",15,1059860,298,274
275,shiftry,Shiftry,Shiftry,Wicked,"ダーテング",Dirteng,"よこしま",3,275,"","","",24,"","",12,17,34,48,124,274,7,45,13,596,4,45,181,70,5,7,0,"",15,1059860,299,275
276,taillow,Taillow,Taillow,TinySwallow,"スバメ",Subame,"こツバメ",3,276,"","","",25,"","",1,3,62,"",113,"","","",3,23,4,200,59,70,4,"",0,"",15,1059860,300,276
277,swellow,Swellow,Swellow,Swallow,"オオスバメ",Ohsubame,"ツバメ",3,277,"","","",26,"","",1,3,62,"",113,276,1,22,7,198,4,45,162,70,4,"",0,"",15,1059860,301,277
278,wingull,Wingull,Wingull,Seagull,"キャモメ",Camome,"うみねこ",3,278,"","","",27,119,"",11,3,51,"",44,"","","",6,95,4,190,64,70,2,4,0,"",20,1000000,302,278
279,pelipper,Pelipper,Pelipper,"Water Bird","ペリッパー",Pelipper,"みずどり",3,279,"","","",28,120,"",11,3,51,"",44,278,1,25,12,280,4,45,164,70,2,4,0,"",20,1000000,303,279
280,ralts,Ralts,Ralts,Feeling,"ラルトス",Ralts,"きもち",3,280,"","","",29,157,"",14,"",28,36,140,"","","",4,66,4,235,70,35,11,"",0,"",20,1250000,304,280
281,kirlia,Kirlia,Kirlia,Emotion,"キルリア",Kirlia,"かんじょう",3,281,"","","",30,158,"",14,"",28,36,140,280,1,20,8,202,4,120,140,35,11,"",0,"",20,1250000,305,281
282,gardevoir,Gardevoir,Gardevoir,Embrace,"サーナイト",Sirknight,"ほうよう",3,282,"","","",31,159,"",14,"",28,36,140,281,1,30,16,484,4,45,208,35,11,"",0,"",20,1250000,306,282
283,surskit,Surskit,Surskit,"Pond Skater","アメタマ",Ametama,"あめんぼ",3,283,"","","",32,"","",7,11,33,"",44,"","","",5,17,4,200,63,70,2,3,0,"",15,1000000,308,283
284,masquerain,Masquerain,Masquerain,Eyeball,"アメモース",Amemoth,"めだま",3,284,"","","",33,"","",7,3,22,"",127,283,1,22,8,36,4,75,128,70,2,3,0,"",15,1000000,309,284
285,shroomish,Shroomish,Shroomish,Mushroom,"キノココ",Kinococo,"きのこ",3,285,"","","",34,"","",12,"",27,90,95,"","","",4,45,4,255,65,70,6,7,0,"",15,1640000,310,285
286,breloom,Breloom,Breloom,Mushroom,"キノガッサ",Kinogassa,"きのこ",3,286,"","","",35,"","",12,2,27,90,101,285,1,23,12,392,4,90,165,70,6,7,0,"",15,1640000,311,286
287,slakoth,Slakoth,Slakoth,Slacker,"ナマケロ",Namakero,"なまけもの",3,287,"","","",36,"","",1,"",54,"","","","","",8,240,4,255,83,70,5,"",0,"",15,1250000,312,287
288,vigoroth,Vigoroth,Vigoroth,"Wild Monkey","ヤルキモノ",Yarukimono,"あばれザル",3,288,"","","",37,"","",1,"",72,"","",287,1,18,14,465,4,120,126,70,5,"",0,"",15,1250000,313,288
289,slaking,Slaking,Slaking,Lazy,"ケッキング",Kekking,"ものぐさ",3,289,"","","",38,"","",1,"",54,"","",288,1,36,20,1305,4,45,210,70,5,"",0,"",15,1250000,314,289
290,nincada,Nincada,Nincada,Trainee,"ツチニン",Tutinin,"したづみ",3,290,"","","",42,"","",7,5,14,"",50,"","","",5,55,4,255,65,70,3,"",0,"",15,600000,315,290
291,ninjask,Ninjask,Ninjask,Ninja,"テッカニン",Tekkanin,"しのび",3,291,"","","",43,"","",7,3,3,"",151,290,1,20,8,120,4,120,155,70,3,"",0,"",15,600000,316,291
292,shedinja,Shedinja,Shedinja,Shed,"ヌケニン",Nukenin,"ぬけがら",3,292,"","","",44,"","",7,8,25,"","",290,17,291,8,12,-1,45,95,70,10,"",0,"",15,600000,317,292
293,whismur,Whismur,Whismur,Whisper,"ゴニョニョ",Gonyonyo,"ささやき",3,293,"","","",45,"","",1,"",43,"",155,"","","",6,163,4,190,68,70,1,5,0,"",20,1059860,318,293
294,loudred,Loudred,Loudred,"Big Voice","ドゴーム",Dogohmb,"おおごえ",3,294,"","","",46,"","",1,"",43,"",113,293,1,20,10,405,4,120,126,70,1,5,0,"",20,1059860,319,294
295,exploud,Exploud,Exploud,"Loud Noise","バクオング",Bakuong,"そうおん",3,295,"","","",47,"","",1,"",43,"",113,294,1,40,15,840,4,45,184,70,1,5,0,"",20,1059860,320,295
296,makuhita,Makuhita,Makuhita,Guts,"マクノシタ",Makunoshita,"こんじょう",3,296,"","","",48,"","",2,"",47,62,125,"","","",10,864,2,180,87,70,8,"",0,"",20,1640000,321,296
297,hariyama,Hariyama,Hariyama,"Arm Thrust","ハリテヤマ",Hariteyama,"つっぱり",3,297,"","","",49,"","",2,"",47,62,125,296,1,24,23,2538,2,200,184,70,8,"",0,"",20,1640000,322,297
298,azurill,Azurill,Azurill,"Polka Dot","ルリリ",Ruriri,"みずたま",3,298,"","","",54,124,"",1,"",47,37,157,"","","",2,20,6,150,33,70,15,"",1,231,10,800000,210,298
299,nosepass,Nosepass,Nosepass,Compass,"ノズパス",Nosepass,"コンパス",3,299,"","","",60,155,"",6,"",5,42,159,"","","",10,970,4,255,108,70,10,"",0,"",20,1000000,323,299
300,skitty,Skitty,Skitty,Kitten,"エネコ",Eneco,"こねこ",3,300,"","","",61,"","",1,"",56,96,147,"","","",6,110,6,255,65,70,5,6,0,"",15,800000,325,300
301,delcatty,Delcatty,Delcatty,Prim,"エネコロロ",Enekororo,"おすまし",3,301,"","","",62,"","",1,"",56,96,147,300,7,46,11,326,6,60,138,70,5,6,0,"",15,800000,326,301
302,sableye,Sableye,Sableye,Darkness,"ヤミラミ",Yamirami,"くらやみ",3,302,"","","",68,"","",17,8,51,100,158,"","","",5,110,4,45,98,35,8,"",0,"",25,1059860,327,302
303,mawile,Mawile,Mawile,Deceiver,"クチート",Kucheat,"あざむき",3,303,"","","",69,"","",9,"",52,22,125,"","","",6,115,4,45,98,70,5,6,0,"",20,800000,328,303
304,aron,Aron,Aron,"Iron Armor","ココドラ",Cokodora,"てつヨロイ",3,304,"","","",70,"","",9,6,5,69,134,"","","",4,600,4,180,96,35,1,"",0,"",35,1250000,329,304
305,lairon,Lairon,Lairon,"Iron Armor","コドラ",Kodora,"てつヨロイ",3,305,"","","",71,"","",9,6,5,69,134,304,1,32,9,1200,4,90,152,35,1,"",0,"",35,1250000,330,305
306,aggron,Aggron,Aggron,"Iron Armor","ボスゴドラ",Bossgodora,"てつヨロイ",3,306,"","","",72,"","",9,6,5,69,134,305,1,42,21,3600,4,45,205,35,1,"",0,"",35,1250000,331,306
307,meditite,Meditite,Meditite,Meditate,"アサナン",Asanan,"めいそう",3,307,"","","",76,86,"",2,14,74,"",140,"","","",6,112,4,180,91,70,8,"",0,"",20,1000000,332,307
308,medicham,Medicham,Medicham,Meditate,"チャーレム",Charem,"めいそう",3,308,"","","",77,87,"",2,14,74,"",140,307,1,37,13,315,4,90,153,70,8,"",0,"",20,1000000,333,308
309,electrike,Electrike,Electrike,Lightning,"ラクライ",Rakurai,"いなずま",3,309,"","","",78,"","",13,"",9,31,58,"","","",6,152,4,120,104,70,5,"",0,"",20,1250000,334,309
310,manectric,Manectric,Manectric,Discharge,"ライボルト",Livolt,"ほうでん",3,310,"","","",79,"","",13,"",9,31,58,309,1,26,15,402,4,45,168,70,5,"",0,"",20,1250000,335,310
311,plusle,Plusle,Plusle,Cheering,"プラスル",Plusle,"おうえん",3,311,"","","",80,"","",13,"",57,"","","","","",4,42,4,200,120,70,6,"",0,"",20,1000000,336,311
312,minun,Minun,Minun,Cheering,"マイナン",Minun,"おうえん",3,312,"","","",81,"","",13,"",58,"","","","","",4,42,4,200,120,70,6,"",0,"",20,1000000,337,312
313,volbeat,Volbeat,Volbeat,Firefly,"バルビート",Barubeat,"ほたる",3,313,"","","",86,"","",7,"",35,68,158,"","","",7,177,0,150,146,70,3,8,0,"",15,600000,338,313
314,illumise,Illumise,Illumise,Firefly,"イルミーゼ",Illumise,"ほたる",3,314,"","","",87,"","",7,"",12,110,158,"","","",6,177,8,150,146,70,3,8,0,"",15,1640000,339,314
315,roselia,Roselia,Roselia,Thorn,"ロゼリア",Roselia,"いばら",3,315,"","","",94,26,"",12,4,30,38,102,406,14,"",3,20,4,150,152,70,6,7,0,"",20,1059860,341,315
316,gulpin,Gulpin,Gulpin,Stomach,"ゴクリン",Gokulin,"いぶくろ",3,316,"","","",95,"","",4,"",64,60,82,"","","",4,103,4,225,75,70,11,"",0,"",20,1640000,343,316
317,swalot,Swalot,Swalot,"Poison Bag","マルノーム",Marunoom,"どくぶくろ",3,317,"","","",96,"","",4,"",64,60,82,316,1,26,17,800,4,75,168,70,11,"",0,"",20,1640000,344,317
318,carvanha,Carvanha,Carvanha,Savage,"キバニア",Kibanha,"どうもう",3,318,"","","",97,"","",11,17,24,"",3,"","","",8,208,4,225,88,35,12,"",0,"",20,1250000,345,318
319,sharpedo,Sharpedo,Sharpedo,Brutal,"サメハダー",Samehader,"きょうぼう",3,319,"","","",98,"","",11,17,24,"",3,318,1,30,18,888,4,60,175,35,12,"",0,"",20,1250000,346,319
320,wailmer,Wailmer,Wailmer,"Ball Whale","ホエルコ",Whalko,"たまくじら",3,320,"","","",99,"","",11,"",41,12,46,"","","",20,1300,4,125,137,70,5,12,0,"",40,1640000,347,320
321,wailord,Wailord,Wailord,"Float Whale","ホエルオー",Whaloh,"うきくじら",3,321,"","","",100,"","",11,"",41,12,46,320,1,40,145,3980,4,60,206,70,5,12,0,"",40,1640000,348,321
322,numel,Numel,Numel,Numb,"ドンメル",Donmel,"どんかん",3,322,"","","",101,"","",10,5,12,86,20,"","","",7,240,4,255,88,70,5,"",0,"",20,1000000,349,322
323,camerupt,Camerupt,Camerupt,Eruption,"バクーダ",Bakuuda,"ふんか",3,323,"","","",102,"","",10,5,40,116,83,322,1,33,19,2200,4,150,175,70,5,"",0,"",20,1000000,350,323
324,torkoal,Torkoal,Torkoal,Coal,"コータス",Cotoise,"せきたん",3,324,"","","",105,"","",10,"",73,"",75,"","","",5,804,4,90,161,70,5,"",0,"",20,1000000,351,324
325,spoink,Spoink,Spoink,Bounce,"バネブー",Baneboo,"とびはね",3,325,"","","",110,"","",14,"",47,20,82,"","","",7,306,4,255,89,70,5,"",0,"",20,800000,352,325
326,grumpig,Grumpig,Grumpig,Manipulate,"ブーピッグ",Boopig,"あやつり",3,326,"","","",111,"","",14,"",47,20,82,325,1,32,9,715,4,60,164,70,5,"",0,"",20,800000,353,326
327,spinda,Spinda,Spinda,"Spot Panda","パッチール",Patcheel,"ぶちパンダ",3,327,"","","",114,"","",1,"",20,77,126,"","","",11,50,4,255,85,70,5,8,0,"",15,800000,354,327
328,trapinch,Trapinch,Trapinch,"Ant Pit","ナックラー",Nuckrar,"ありじごく",3,328,"","","",116,"","",5,"",52,71,125,"","","",7,150,4,255,73,70,3,"",0,"",20,1059860,355,328
329,vibrava,Vibrava,Vibrava,Vibration,"ビブラーバ",Vibrava,"しんどう",3,329,"","","",117,"","",5,16,26,"","",328,1,35,11,153,4,120,126,70,3,"",0,"",20,1059860,356,329
330,flygon,Flygon,Flygon,Mystic,"フライゴン",Flygon,"せいれい",3,330,"","","",118,"","",5,16,26,"","",329,1,45,20,820,4,45,197,70,3,"",0,"",20,1059860,357,330
331,cacnea,Cacnea,Cacnea,Cactus,"サボネア",Sabonea,"サボテン",3,331,"","","",119,"","",12,"",8,"",11,"","","",4,513,4,190,97,35,7,8,0,"",20,1059860,358,331
332,cacturne,Cacturne,Cacturne,Scarecrow,"ノクタス",Noctus,"カカシぐさ",3,332,"","","",120,"","",12,17,8,"",11,331,1,32,13,774,4,60,177,35,7,8,0,"",20,1059860,359,332
333,swablu,Swablu,Swablu,"Cotton Bird","チルット",Chiruyto,"わたどり",3,333,"","","",121,171,"",1,3,30,"",13,"","","",4,12,4,255,74,70,4,14,0,"",20,600000,360,333
334,altaria,Altaria,Altaria,Humming,"チルタリス",Tyltalis,"ハミング",3,334,"","","",122,172,"",16,3,30,"",13,333,1,35,11,206,4,45,188,70,4,14,0,"",20,600000,361,334
335,zangoose,Zangoose,Zangoose,"Cat Ferret","ザングース",Zangoose,"ネコイタチ",3,335,"","","",123,"","",1,"",17,"",137,"","","",13,403,4,90,165,70,5,"",0,"",20,600000,362,335
336,seviper,Seviper,Seviper,"Fang Snake","ハブネーク",Habunake,"キバへび",3,336,"","","",124,"","",4,"",61,"",151,"","","",27,525,4,90,165,70,5,14,0,"",20,1640000,363,336
337,lunatone,Lunatone,Lunatone,Meteorite,"ルナトーン",Lunatone,"いんせき",3,337,"","","",125,"","",6,14,26,"","","","","",10,1680,-1,45,150,70,10,"",0,"",25,800000,364,337
338,solrock,Solrock,Solrock,Meteorite,"ソルロック",Solrock,"いんせき",3,338,"","","",126,"","",6,14,26,"","","","","",12,1540,-1,45,150,70,10,"",0,"",25,800000,365,338
339,barboach,Barboach,Barboach,Whiskers,"ドジョッチ",Dojoach,"ひげうお",3,339,"","","",127,80,"",11,5,12,107,93,"","","",4,19,4,190,92,70,12,"",0,"",20,1000000,366,339
340,whiscash,Whiscash,Whiscash,Whiskers,"ナマズン",Namazun,"ひげうお",3,340,"","","",128,81,"",11,5,12,107,93,339,1,30,9,236,4,75,158,70,12,"",0,"",20,1000000,367,340
341,corphish,Corphish,Corphish,Ruffian,"ヘイガニ",Heigani,"ごろつき",3,341,"","","",129,"","",11,"",52,75,91,"","","",6,115,4,205,111,70,2,9,0,"",15,1640000,368,341
342,crawdaunt,Crawdaunt,Crawdaunt,Rogue,"シザリガー",Shizariger,"ならずもの",3,342,"","","",130,"","",11,17,52,75,91,341,1,30,11,328,4,155,161,70,2,9,0,"",15,1640000,369,342
343,baltoy,Baltoy,Baltoy,"Clay Doll","ヤジロン",Yajilon,"どぐう",3,343,"","","",131,"","",5,14,26,"","","","","",5,215,-1,255,58,70,10,"",0,"",20,1000000,370,343
344,claydol,Claydol,Claydol,"Clay Doll","ネンドール",Nendoll,"どぐう",3,344,"","","",132,"","",5,14,26,"","",343,1,36,15,1080,-1,90,189,70,10,"",0,"",20,1000000,371,344
345,lileep,Lileep,Lileep,"Sea Lily","リリーラ",Lilyla,"ウミユリ",3,345,"","","",133,"","",6,12,21,"",114,"","","",10,238,1,45,99,70,9,"",0,"",30,600000,372,345
346,cradily,Cradily,Cradily,Barnacle,"ユレイドル",Yuradle,"いわつぼ",3,346,"","","",134,"","",6,12,21,"",114,345,1,40,15,604,1,45,199,70,9,"",0,"",30,600000,373,346
347,anorith,Anorith,Anorith,"Old Shrimp","アノプス",Anopth,"むかしエビ",3,347,"","","",135,"","",6,7,4,"",33,"","","",7,125,1,45,99,70,9,"",0,"",30,600000,374,347
348,armaldo,Armaldo,Armaldo,Plate,"アーマルド",Armaldo,"かっちゅう",3,348,"","","",136,"","",6,7,4,"",33,347,1,40,15,682,1,45,199,70,9,"",0,"",30,600000,375,348
349,feebas,Feebas,Feebas,Fish,"ヒンバス",Hinbass,"さかな",3,349,"","","",140,138,"",11,"",33,"",91,"","","",6,74,4,255,61,70,2,14,0,"",20,600000,376,349
350,milotic,Milotic,Milotic,Tender,"ミロカロス",Milokaross,"いつくしみ",3,350,"","","",141,139,"",11,"",63,"",56,349,16,170,62,1620,4,60,213,70,2,14,0,"",20,600000,377,350
351,castform,Castform,Castform,Weather,"ポワルン",Powalen,"てんき",3,351,"","","",142,"","",1,"",59,"","","","","",3,8,4,45,145,70,6,11,0,"",25,1000000,378,351
352,kecleon,Kecleon,Kecleon,"Color Swap","カクレオン",Kakureon,"いろへんげ",3,352,"","","",145,"","",1,"",16,"","","","","",10,220,4,200,132,70,5,"",0,"",20,1059860,382,352
353,shuppet,Shuppet,Shuppet,Puppet,"カゲボウズ",Kagebouzu,"にんぎょう",3,353,"","","",146,"","",8,"",15,119,130,"","","",6,23,4,225,97,35,11,"",0,"",25,800000,383,353
354,banette,Banette,Banette,Marionette,"ジュペッタ",Juppeta,"ぬいぐるみ",3,354,"","","",147,"","",8,"",15,119,130,353,1,37,11,125,4,45,179,35,11,"",0,"",25,800000,384,354
355,duskull,Duskull,Duskull,Requiem,"ヨマワル",Yomawaru,"おむかえ",3,355,"","","",148,189,"",8,"",26,"","","","","",8,150,4,190,97,35,11,"",0,"",25,800000,385,355
356,dusclops,Dusclops,Dusclops,Beckon,"サマヨール",Samayouru,"てまねき",3,356,"","","",149,190,"",8,"",46,"","",355,1,37,16,306,4,90,179,35,11,"",0,"",25,800000,386,356
357,tropius,Tropius,Tropius,Fruit,"トロピウス",Tropius,"フルーツ",3,357,"","","",150,185,"",12,3,34,94,139,"","","",20,1000,4,200,169,70,1,7,0,"",25,1250000,388,357
358,chimecho,Chimecho,Chimecho,"Wind Chime","チリーン",Chirean,"ふうりん",3,358,"","","",151,83,"",14,"",26,"","",433,15,"",6,10,4,45,147,70,11,"",0,"",25,800000,390,358
359,absol,Absol,Absol,Disaster,"アブソル",Absol,"わざわい",3,359,"","","",152,209,"",17,"",46,105,154,"","","",12,470,4,30,174,35,5,"",0,"",25,1059860,391,359
360,wynaut,Wynaut,Wynaut,Bright,"ソーナノ",Sohnano,"ほがらか",3,360,"","","",160,"","",14,"",23,"",140,"","","",6,140,4,125,44,70,15,"",1,232,20,1000000,231,360
361,snorunt,Snorunt,Snorunt,"Snow Hat","ユキワラシ",Yukiwarashi,"ゆきかさ",3,361,"","","",171,206,"",15,"",39,115,141,"","","",7,168,4,190,74,70,6,10,0,"",20,1000000,392,361
362,glalie,Glalie,Glalie,Face,"オニゴーリ",Onigohri,"がんめん",3,362,"","","",172,207,"",15,"",39,115,141,361,1,42,15,2565,4,75,187,70,6,10,0,"",20,1000000,393,362
363,spheal,Spheal,Spheal,Clap,"タマザラシ",Tamazarashi,"てたたき",3,363,"","","",173,"","",15,11,47,115,12,"","","",8,395,4,255,75,70,2,5,0,"",20,1059860,395,363
364,sealeo,Sealeo,Sealeo,"Ball Roll","トドグラー",Todoggler,"たままわし",3,364,"","","",174,"","",15,11,47,115,12,363,1,32,11,876,4,120,128,70,2,5,0,"",20,1059860,396,364
365,walrein,Walrein,Walrein,"Ice Break","トドゼルガ",Todoseruga,"こおりわり",3,365,"","","",175,"","",15,11,47,115,12,364,1,44,14,1506,4,45,192,70,2,5,0,"",20,1059860,397,365
366,clamperl,Clamperl,Clamperl,Bivalve,"パールル",Pearlulu,"2まいがい",3,366,"","","",176,"","",11,"",75,"",155,"","","",4,525,4,255,142,70,2,"",0,"",20,600000,398,366
367,huntail,Huntail,Huntail,"Deep Sea","ハンテール",Huntail,"しんかい",3,367,"","","",177,"","",11,"",33,"",41,366,6,113,17,270,4,60,178,70,2,"",0,"",20,600000,399,367
368,gorebyss,Gorebyss,Gorebyss,"South Sea","サクラビス",Sakurabyss,"なんかい",3,368,"","","",178,"","",11,"",33,"",93,366,6,112,18,226,4,60,178,70,2,"",0,"",20,600000,400,368
369,relicanth,Relicanth,Relicanth,Longevity,"ジーランス",Glanth,"ちょうじゅ",3,369,"","","",179,"","",11,6,33,69,5,"","","",10,234,1,25,198,70,2,12,0,"",40,1250000,401,369
370,luvdisc,Luvdisc,Luvdisc,Rendezvous,"ラブカス",Lovecus,"ランデブー",3,370,"","","",183,"","",11,"",33,"",93,"","","",6,87,6,225,110,70,12,"",0,"",20,800000,402,370
371,bagon,Bagon,Bagon,"Rock Head","タツベイ",Tatsubay,"いしあたま",3,371,"","","",187,"","",16,"",69,"",125,"","","",6,421,4,45,89,35,14,"",0,"",40,1250000,403,371
372,shelgon,Shelgon,Shelgon,Endurance,"コモルー",Komoruu,"にんたい",3,372,"","","",188,"","",16,"",69,"",142,371,1,30,11,1105,4,45,144,35,14,"",0,"",40,1250000,404,372
373,salamence,Salamence,Salamence,Dragon,"ボーマンダ",Bohmander,"ドラゴン",3,373,"","","",189,"","",16,3,22,"",153,372,1,50,15,1026,4,45,218,35,14,"",0,"",40,1250000,405,373
374,beldum,Beldum,Beldum,"Iron Ball","ダンバル",Dumbber,"てっきゅう",3,374,"","","",190,"","",9,14,29,"",135,"","","",6,952,-1,3,103,35,10,"",0,"",40,1250000,406,374
375,metang,Metang,Metang,"Iron Claw","メタング",Metang,"てつツメ",3,375,"","","",191,"","",9,14,29,"",135,374,1,20,12,2025,-1,3,153,35,10,"",0,"",40,1250000,407,375
376,metagross,Metagross,Metagross,"Iron Leg","メタグロス",Metagross,"てつあし",3,376,"","","",192,"","",9,14,29,"",135,375,1,45,16,5500,-1,3,210,35,10,"",0,"",40,1250000,408,376
377,regirock,Regirock,Regirock,"Rock Peak","レジロック",Regirock,"いわやま",3,377,"","","",193,"","",6,"",29,"",5,"","","",17,2300,-1,3,217,35,15,"",0,"",80,1250000,409,377
378,regice,Regice,Regice,Iceberg,"レジアイス",Regice,"ひょうざん",3,378,"","","",194,"","",15,"",29,"",115,"","","",18,1750,-1,3,216,35,15,"",0,"",80,1250000,410,378
379,registeel,Registeel,Registeel,Iron,"レジスチル",Registeel,"くろがね",3,379,"","","",195,"","",9,"",29,"",135,"","","",19,2050,-1,3,215,35,15,"",0,"",80,1250000,411,379
380,latias,Latias,Latias,Eon,"ラティアス",Latias,"むげん",3,380,"","","",196,"","",16,14,26,"","","","","",14,400,8,3,211,90,15,"",0,"",120,1250000,412,380
381,latios,Latios,Latios,Eon,"ラティオス",Latios,"むげん",3,381,"","","",197,"","",16,14,26,"","","","","",20,600,0,3,211,90,15,"",0,"",120,1250000,413,381
382,kyogre,Kyogre,Kyogre,"Sea Basin","カイオーガ",Kyogre,"かいてい",3,382,"","","",198,"","",11,"",2,"","","","","",45,3520,-1,5,218,0,15,"",0,"",120,1250000,414,382
383,groudon,Groudon,Groudon,Continent,"グラードン",Groudon,"たいりく",3,383,"","","",199,"","",5,"",70,"","","","","",35,9500,-1,5,218,0,15,"",0,"",120,1250000,415,383
384,rayquaza,Rayquaza,Rayquaza,"Sky High","レックウザ",Rayquaza,"てんくう",3,384,"","","",200,"","",16,3,76,"","","","","",70,2065,-1,3,220,0,15,"",0,"",120,1250000,416,384
385,jirachi,Jirachi,Jirachi,Wish,"ジラーチ",Jirachi,"ねがいごと",3,385,"","","",201,"","",9,14,32,"","","","","",3,11,-1,3,215,100,15,"",0,"",120,1250000,417,385
386,deoxys,Deoxys,Deoxys,DNA,"デオキシス",Deoxys,DNA,3,386,"","","",202,"","",14,"",46,"","","","","",17,608,-1,3,215,0,15,"",0,"",120,1250000,418,386
387,turtwig,Turtwig,Turtwig,"Tiny Leaf","ナエトル",Naetle,"わかば",4,387,"","","","",1,"",12,"",65,"",75,"","","",4,102,1,45,64,70,1,7,0,"",20,1059860,422,390
388,grotle,Grotle,Grotle,Grove,"ハヤシガメ",Hayashigame,"こだち",4,388,"","","","",2,"",12,"",65,"",75,387,1,18,11,970,1,45,141,70,1,7,0,"",20,1059860,423,391
389,torterra,Torterra,Torterra,Continent,"ドダイトス",Dodaitose,"たいりく",4,389,"","","","",3,"",12,5,65,"",75,388,1,32,22,3100,1,45,208,70,1,7,0,"",20,1059860,424,392
390,chimchar,Chimchar,Chimchar,Chimp,"ヒコザル",Hikozaru,"こざる",4,390,"","","","",4,"",10,"",66,"",89,"","","",5,62,1,45,65,70,5,8,0,"",20,1059860,425,393
391,monferno,Monferno,Monferno,Playful,"モウカザル",Moukazaru,"やんちゃ",4,391,"","","","",5,"",10,2,66,"",89,390,1,14,9,220,1,45,142,70,5,8,0,"",20,1059860,426,394
392,infernape,Infernape,Infernape,Flame,"ゴウカザル",Goukazaru,"かえん",4,392,"","","","",6,"",10,2,66,"",89,391,1,36,12,550,1,45,209,70,5,8,0,"",20,1059860,427,395
393,piplup,Piplup,Piplup,Penguin,"ポッチャマ",Pochama,"ペンギン",4,393,"","","","",7,"",11,"",67,"",128,"","","",4,52,1,45,66,70,2,5,0,"",20,1059860,428,396
394,prinplup,Prinplup,Prinplup,Penguin,"ポッタイシ",Pottaishi,"ペンギン",4,394,"","","","",8,"",11,"",67,"",128,393,1,16,8,230,1,45,143,70,2,5,0,"",20,1059860,429,397
395,empoleon,Empoleon,Empoleon,Emperor,"エンペルト",Emperte,"こうてい",4,395,"","","","",9,"",11,9,67,"",128,394,1,36,17,845,1,45,210,70,2,5,0,"",20,1059860,430,398
396,starly,Starly,Starly,Starling,"ムックル",Mukkuru,"むくどり",4,396,"","","","",10,"",1,3,51,"","","","","",3,20,4,255,56,70,4,"",0,"",15,1059860,431,399
397,staravia,Staravia,Staravia,Starling,"ムクバード",Mukubird,"むくどり",4,397,"","","","",11,"",1,3,22,"",120,396,1,14,6,155,4,120,113,70,4,"",0,"",15,1059860,432,400
398,staraptor,Staraptor,Staraptor,Predator,"ムクホーク",Mukuhawk,"もうきん",4,398,"","","","",12,"",1,3,22,"",120,397,1,34,12,249,4,45,172,70,4,"",0,"",15,1059860,433,401
399,bidoof,Bidoof,Bidoof,"Plump Mouse","ビッパ",Bippa,"まるねずみ",4,399,"","","","",13,"",1,"",86,109,141,"","","",5,200,4,255,58,70,2,5,0,"",15,1000000,434,402
400,bibarel,Bibarel,Bibarel,Beaver,"ビーダル",Beadaru,"ビーバー",4,400,"","","","",14,"",1,11,86,109,141,399,1,15,10,315,4,127,116,70,2,5,0,"",15,1000000,435,403
401,kricketot,Kricketot,Kricketot,Cricket,"コロボーシ",Koroboshi,"こおろぎ",4,401,"","","","",15,"",7,"",61,"",50,"","","",3,22,4,255,54,70,3,"",0,"",15,1059860,436,404
